id,amount_requested,amount_funded_by_investor,interest_rate,loan_length,loan_purpose,debt_to_income_ratio,home_ownership,monthly_income,open_credit_lines,revolving_credit_balance,inquiries_in_last_six_mths,employment_length
1494,1600,1600,0.11,36,other,0.05,RENT,2427,5,7020,0,3
61703,10000,10000,0.18,36,wedding,0.3,OWN,2500,5,8379,0,8
61576,18550,18525,0.08,36,debt_consolidation,0.17,MORTGAGE,5416.67,10,28877,0,3
21993,7450,7450,0.13,36,debt_consolidation,0.03,MORTGAGE,5883.33,2,6416,1,10
58359,3225,3225,0.08,36,debt_consolidation,0.18,MORTGAGE,5833.33,5,70323,1,10
67335,23675,23675,0.18,36,credit_card,0.3,OWN,6399,21,21920,0,10
57080,12000,12000,0.12,36,debt_consolidation,0.19,RENT,5833.33,16,18838,0,10
30035,25000,25000,0.16,36,debt_consolidation,0.18,RENT,6000,9,10630,2,7
103948,16000,15850,0.11,36,credit_card,0.18,MORTGAGE,6666.67,7,18659,4,5
96659,4200,4175,0.09,36,car,0.1,MORTGAGE,3041.67,4,1548,0,10
67158,10000,10000,0.14,36,debt_consolidation,0.21,RENT,4583.33,11,8548,0,6
33777,6000,212,0.08,36,home_improvement,0.03,MORTGAGE,4800,4,1442,0,10
59724,6000,6000,0.13,36,debt_consolidation,0.15,RENT,3333.33,7,12503,2,2
95096,7925,7925,0.16,36,debt_consolidation,0.21,RENT,2000,6,7840,0,6
67629,16000,15925,0.08,36,debt_consolidation,0.06,MORTGAGE,6000,8,19539,0,n/a
51929,9525,9500,0.16,36,small_business,0.11,RENT,2666.67,15,5610,1,n/a
13216,6000,6000,0.14,36,debt_consolidation,0.14,MORTGAGE,2500,9,3621,3,1
103405,10000,9975,0.15,36,debt_consolidation,0.12,MORTGAGE,5250,4,3035,5,2
53271,7000,7000,0.07,36,major_purchase,0.08,MORTGAGE,10000,9,6761,1,6
25380,4500,4500,0.06,36,debt_consolidation,0.18,MORTGAGE,10000,18,17863,3,6
6987,12000,12000,0.11,36,debt_consolidation,0.02,MORTGAGE,12500,13,10944,0,5
96413,10375,10375,0.2,36,debt_consolidation,0.05,RENT,4166.67,9,6122,1,5
88273,4800,4800,0.19,36,other,0.11,MORTGAGE,5833.33,4,17943,0,10
48519,6400,6400,0.13,36,credit_card,0.11,MORTGAGE,4666.67,7,8942,1,10
69456,5000,5000,0.08,36,debt_consolidation,0.17,OWN,4000,10,6023,0,10
41198,12000,12000,0.07,36,credit_card,0.22,RENT,5250,11,20639,0,1
44282,23850,23820.25,0.21,60,other,0.19,MORTGAGE,4250,23,37251,0,4
34122,15000,15000,0.11,36,small_business,0.16,MORTGAGE,7083.33,14,338,2,9
84563,8000,8000,0.08,36,other,0,MORTGAGE,3500,7,0,1,n/a
98634,20000,20000,0.06,36,credit_card,0.19,MORTGAGE,14583.33,9,29044,0,7
73526,20000,19975,0.13,36,debt_consolidation,0.15,RENT,8233.33,17,29756,2,1
82476,10000,10000,0.14,36,debt_consolidation,0.11,RENT,2916.67,9,10390,3,1
67263,18825,18825,0.14,36,credit_card,0.13,RENT,4000,6,20694,1,4
41267,35000,34975,0.08,36,small_business,0.02,RENT,18333.33,10,1992,0,1
64884,9000,9000,0.06,36,vacation,0.06,MORTGAGE,9583.33,11,675,0,n/a
18452,4000,4000,0.06,36,home_improvement,0.15,RENT,4234,5,587,1,2
57866,5750,5750,0.14,36,credit_card,0.12,RENT,5000,13,12465,0,10
77151,20950,20950,0.16,36,debt_consolidation,0.16,MORTGAGE,12916.67,8,30188,1,4
25405,8000,8000,0.11,36,credit_card,0.15,RENT,7500,9,7120,2,1
85644,10000,10000,0.1,36,debt_consolidation,0.09,MORTGAGE,3333.33,8,8940,2,n/a
85686,10000,10000,0.14,36,small_business,0.15,RENT,5000,7,4762,0,4
54649,14000,14000,0.06,36,credit_card,0.2,MORTGAGE,6000,13,4140,0,8
19069,5000,5000,0.08,36,credit_card,0.03,RENT,9000,3,12297,0,10
74479,25000,25000,0.19,60,debt_consolidation,0.11,MORTGAGE,6250,8,15159,1,9
76693,35000,35000,0.09,36,debt_consolidation,0.15,RENT,10416.67,9,21321,0,10
63266,7200,7175,0.11,36,debt_consolidation,0.28,MORTGAGE,3750,8,20342,0,10
32008,14000,14000,0.08,60,debt_consolidation,0.1,MORTGAGE,9000,17,23773,0,4
13996,15000,14975,0.15,36,debt_consolidation,0.19,RENT,5132,4,34044,1,3
80638,25000,25000,0.2,60,debt_consolidation,0.32,OWN,4916.67,21,35208,1,7
36889,10800,10800,0.15,36,debt_consolidation,0.08,RENT,9583.33,6,6487,1,1
72169,20000,20000,0.14,36,credit_card,0.21,MORTGAGE,6250,9,14268,1,9
19548,4000,4000,0.11,36,debt_consolidation,0.02,RENT,2900,13,1869,1,n/a
103357,16000,15950,0.16,36,debt_consolidation,0.24,MORTGAGE,9333.33,20,12721,5,10
59117,1400,1400,0.1,36,vacation,0.27,MORTGAGE,4683.33,6,6466,0,2
15427,7500,7500,0.16,36,debt_consolidation,0.13,MORTGAGE,4600,3,6120,0,2
224,24625,917.28,0.14,36,credit_card,0.13,MORTGAGE,10000,14,33698,0,8
85618,5000,5000,0.14,36,debt_consolidation,0.29,MORTGAGE,5416.67,11,3977,1,1
43436,25000,24975,0.1,36,debt_consolidation,0.2,RENT,7916.67,14,27203,0,1
19328,7500,7500,0.16,36,debt_consolidation,0.13,RENT,4166.67,8,7430,0,1
65134,34500,34450,0.07,36,small_business,0.16,MORTGAGE,10000,4,5317,0,9
20263,10000,10000,0.06,36,debt_consolidation,0.06,MORTGAGE,12500,17,75629,0,1
9194,3200,3200,0.1,36,debt_consolidation,0.07,RENT,4500,7,3198,0,5
27520,5500,5500,0.16,60,debt_consolidation,0.18,RENT,4250,16,13256,0,10
45941,3000,3000,0.1,36,debt_consolidation,0.22,OWN,1100,4,2413,0,n/a
69242,18000,18000,0.23,60,debt_consolidation,0.09,RENT,7083.33,6,13106,0,10
2633,10000,9700,0.1,36,debt_consolidation,0.14,MORTGAGE,4190,6,1251,1,1
48662,8800,8800,0.13,36,credit_card,0.17,RENT,3150.25,13,14266,1,4
65775,7000,7000,0.11,36,debt_consolidation,0.23,MORTGAGE,6000,17,19634,2,6
92773,8000,8000,0.13,36,debt_consolidation,0.19,RENT,2625,8,7554,1,5
33161,3000,3000,0.17,36,credit_card,0.17,RENT,3833.33,4,4136,0,n/a
37985,12000,11975,0.08,36,debt_consolidation,0.12,RENT,7500,18,33702,1,10
2791,3600,3575,0.14,36,small_business,0,RENT,2500,4,1,0,3
81950,11625,11625,0.14,36,debt_consolidation,0.23,MORTGAGE,2833.33,6,27411,2,8
84215,30000,30000,0.21,36,credit_card,0.17,MORTGAGE,12500,14,19096,2,9
93352,16000,16000,0.09,36,debt_consolidation,0.2,RENT,7083.33,11,6185,1,4
10474,10800,10700,0.11,36,major_purchase,0.15,MORTGAGE,8400,6,24675,0,10
15717,25000,23655.48,0.17,60,debt_consolidation,0.14,MORTGAGE,7666.67,15,28748,3,8
103874,10000,10000,0.14,60,other,0.15,RENT,3916.67,9,5188,4,4
132,12375,275,0.11,36,small_business,0.16,MORTGAGE,3892.75,11,8332,2,3
5169,6000,6000,0.11,36,credit_card,0.18,MORTGAGE,5031.67,9,50935,0,10
29812,8000,8000,0.13,36,debt_consolidation,0.15,RENT,5000,18,4786,1,2
56991,15000,15000,0.18,36,credit_card,0.1,MORTGAGE,5000,11,14596,0,8
62537,7000,7000,0.18,36,other,0.32,RENT,3333.33,12,35604,3,7
22858,8400,8400,0.07,36,renewable_energy,0.13,RENT,3000,9,6998,1,1
78602,15000,15000,0.08,36,debt_consolidation,0.19,MORTGAGE,4500,10,17212,0,7
93778,15000,14925,0.14,36,debt_consolidation,0.13,RENT,5000,7,11368,1,1
87504,2800,2800,0.1,36,major_purchase,0.12,RENT,2083.33,7,7261,0,1
92105,7750,7750,0.16,36,debt_consolidation,0.27,MORTGAGE,2916.67,18,17102,0,5
59387,4500,4500,0.09,36,credit_card,0.18,RENT,2166.67,8,5361,0,4
6067,17500,17375,0.13,36,debt_consolidation,0.22,RENT,3666.67,7,20010,0,6
62445,18000,18000,0.15,60,debt_consolidation,0.05,RENT,5258.5,6,11596,0,10
35834,15000,14975,0.15,60,debt_consolidation,0.18,MORTGAGE,2748,14,7956,1,6
24320,6000,6000,0.15,36,credit_card,0.2,OWN,4583.33,13,8077,1,1
68821,11500,11475,0.11,36,credit_card,0.28,RENT,2750,6,9079,0,5
96988,10000,10000,0.13,36,credit_card,0.08,RENT,2500,8,10906,0,7
47002,12000,12000,0.09,36,credit_card,0.12,RENT,5000,5,13940,0,10
53897,10000,10000,0.12,36,debt_consolidation,0.18,MORTGAGE,5000,7,13202,0,10
40136,35000,34975,0.21,60,debt_consolidation,0.18,RENT,7916.67,8,19789,2,10
14952,7200,7100,0.1,60,major_purchase,0.18,RENT,3000,7,2753,1,2
40856,4000,3975,0.08,60,car,0.04,OWN,4000,16,6696,0,1
4938,5300,5200,0.11,36,debt_consolidation,0.08,MORTGAGE,8333.33,5,73258,1,3
59272,1200,1200,0.08,36,other,0.09,MORTGAGE,3833.33,14,350,1,7
80512,2500,2500,0.11,36,major_purchase,0.1,RENT,4333.33,4,4922,0,3
82071,17000,16975,0.14,36,debt_consolidation,0.26,OWN,7500,21,39130,3,10
90748,16000,16000,0.08,36,credit_card,0.12,MORTGAGE,8416.67,14,21913,1,5
42319,10000,9950,0.13,36,debt_consolidation,0.04,MORTGAGE,6666.67,8,7967,1,3
81914,5000,5000,0.1,36,debt_consolidation,0.25,MORTGAGE,6250,9,33705,0,6
97954,4375,4375,0.19,36,credit_card,0.09,RENT,2916.67,9,6944,2,6
41074,8500,8475,0.06,36,home_improvement,0.12,MORTGAGE,6100,17,6370,0,10
30600,12000,12000,0.17,60,small_business,0.15,MORTGAGE,7500,14,28589,2,3
4909,6200,6100,0.09,36,other,0.19,RENT,5000,17,9367,0,1
63340,7000,7000,0.18,36,debt_consolidation,0.19,MORTGAGE,2000,10,7315,2,1
35313,20800,20800,0.13,60,debt_consolidation,0.07,MORTGAGE,6541.67,9,13197,0,1
45225,19200,19200,0.13,60,other,0.03,MORTGAGE,8333.33,14,50625,3,2
98090,22000,22000,0.16,60,debt_consolidation,0.21,MORTGAGE,5416.67,9,10267,1,10
71142,15000,15000,0.19,36,debt_consolidation,0.25,RENT,6000,12,12162,0,1
5282,7000,6965.1,0.19,36,debt_consolidation,0.17,RENT,5000,11,13859,0,3
52333,20000,20000,0.09,36,credit_card,0.17,RENT,4916.67,10,14952,2,4
15274,2000,2000,0.06,36,moving,0.18,RENT,5733.58,9,21998,0,3
32037,18000,17738.58,0.11,60,major_purchase,0.15,MORTGAGE,4000,9,6718,0,10
6528,20800,20775,0.11,36,home_improvement,0.22,OWN,11666.67,6,682,1,10
10487,9000,8875,0.08,36,debt_consolidation,0.15,MORTGAGE,5708.33,9,12217,0,7
64690,6000,6000,0.14,36,credit_card,0.23,RENT,2666.67,18,5955,0,10
66605,5000,5000,0.16,36,debt_consolidation,0.34,RENT,3750,18,5414,3,3
18512,12000,11975,0.15,60,credit_card,0.22,RENT,4186,9,9398,0,3
1173,7000,1998,0.08,36,credit_card,0.06,MORTGAGE,7583.33,9,21135,0,10
22150,6000,5950,0.1,36,major_purchase,0.09,MORTGAGE,15416.67,9,105730,1,10
104008,17000,16975,0.14,36,debt_consolidation,0.18,MORTGAGE,9166.67,14,16230,4,3
4665,12000,11975,0.09,36,credit_card,0.19,RENT,4750,13,25577,1,4
43053,16350,16350,0.08,36,credit_card,0.25,OWN,4541.67,7,25731,0,9
59192,20000,20000,0.08,36,debt_consolidation,0.2,MORTGAGE,4625,14,31335,1,10
80538,12300,12300,0.12,36,debt_consolidation,0.1,RENT,6583.33,15,12450,0,1
78519,4800,4800,0.13,36,moving,0.05,RENT,2666.67,3,7911,0,1
48236,14500,14500,0.08,36,credit_card,0.12,RENT,4500,8,16398,0,6
51833,4200,4200,0.09,36,debt_consolidation,0.1,MORTGAGE,2254,7,4490,0,n/a
69446,22250,22250,0.14,36,credit_card,0.32,MORTGAGE,6583.33,18,44868,0,10
18161,8000,8000,0.14,36,home_improvement,0.08,RENT,25000,6,28579,1,8
78856,8325,8325,0.18,36,debt_consolidation,0.21,RENT,2000,7,7676,0,1
48412,14000,14000,0.13,36,debt_consolidation,0.08,OWN,10416.67,4,4776,0,7
60192,9000,9000,0.1,36,debt_consolidation,0.04,MORTGAGE,6000,6,5659,0,7
97275,16000,16000,0.13,36,credit_card,0.18,MORTGAGE,6083.33,13,15148,0,2
103218,15200,13694.22,0.11,36,credit_card,0.15,MORTGAGE,7916.67,7,217827,2,6
39722,24000,24000,0.11,36,debt_consolidation,0.15,RENT,3750,5,24708,0,10
54880,16450,16450,0.15,36,debt_consolidation,0.12,MORTGAGE,6666.67,8,12697,3,9
81508,7500,7500,0.12,36,home_improvement,0.27,MORTGAGE,5000,8,9047,1,10
98671,4750,4750,0.22,36,debt_consolidation,0.24,RENT,1333.33,9,4752,2,1
80765,6500,6500,0.08,36,debt_consolidation,0.13,RENT,6750,17,33229,0,8
103835,5500,5450,0.19,60,debt_consolidation,0.18,RENT,1750,6,4492,6,2
59041,9600,9600,0.06,36,home_improvement,0.08,MORTGAGE,6250,7,765,0,1
62747,12000,11975,0.12,36,major_purchase,0.31,OWN,4166.67,21,28703,2,3
34051,2000,2000,0.08,36,other,0.17,RENT,1500,5,2925,0,4
99360,18000,18000,0.25,60,moving,0.15,RENT,4000,10,7377,3,8
79126,5825,5825,0.12,36,home_improvement,0.04,OWN,3750,4,5643,0,1
103249,2500,2500,0.15,36,home_improvement,0.23,RENT,2530,7,5276,6,1
43700,7200,7200,0.2,60,other,0.02,RENT,5500,13,2130,0,9
83155,8000,8000,0.14,36,other,0.12,RENT,3941.58,15,9660,0,2
16446,25000,24675,0.21,60,home_improvement,0.19,MORTGAGE,6000,17,12757,2,10
84110,2500,2500,0.14,36,medical,0.21,RENT,2666.67,9,15787,0,n/a
2807,20000,2050,0.13,36,home_improvement,0.01,MORTGAGE,3500,6,1954,5,2
94386,6250,6250,0.13,36,debt_consolidation,0.29,RENT,1779.17,19,7455,1,3
49074,12375,12375,0.14,36,debt_consolidation,0.22,MORTGAGE,2083.33,8,12226,0,3
88558,18000,18000,0.1,36,debt_consolidation,0.17,MORTGAGE,6666.67,16,19850,1,6
31714,3300,3300,0.07,36,other,0.2,RENT,3333.33,10,0,2,1
68991,21000,21000,0.18,60,other,0.16,MORTGAGE,8833.33,11,29293,0,1
75034,24575,24575,0.16,36,debt_consolidation,0.2,MORTGAGE,5250,8,20858,2,10
4532,5000,4900,0.08,36,other,0.14,RENT,5166.67,8,15489,1,10
67649,20000,20000,0.16,36,debt_consolidation,0.24,MORTGAGE,5833.33,14,12696,1,1
34983,13250,13250,0.07,36,debt_consolidation,0.29,MORTGAGE,5750,12,7174,3,8
4168,10000,9975,0.09,36,major_purchase,0.03,MORTGAGE,10167,9,16,3,10
13020,20000,19950,0.11,36,debt_consolidation,0.11,RENT,8416.67,10,12283,0,3
28402,10000,10000,0.08,36,debt_consolidation,0.14,MORTGAGE,4166.67,8,8455,0,10
82112,12000,12000,0.12,36,debt_consolidation,0.15,MORTGAGE,5000,11,13235,2,2
74368,8000,7950,0.08,36,home_improvement,0.13,MORTGAGE,3500,8,6834,2,5
5838,11000,10950,0.09,36,credit_card,0.22,MORTGAGE,4200,6,8694,4,7
24085,12500,12425,0.07,36,debt_consolidation,0.14,RENT,8237.5,15,13261,0,6
102519,7500,212,0.11,36,credit_card,0.11,MORTGAGE,3750,15,5148,7,6
85220,4825,4825,0.1,36,debt_consolidation,0.15,RENT,2400,14,6109,1,1
29422,7550,7550,0.17,36,other,0.22,RENT,2880,2,1989,1,8
12751,8000,7827.03,0.14,36,other,0.2,RENT,4000,7,2082,0,4
96028,6000,6000,0.14,36,debt_consolidation,0.16,RENT,5083.33,11,10373,0,4
104202,8000,8000,0.16,60,major_purchase,0.02,RENT,5291.67,4,1252,6,5
10096,3000,3000,0.15,36,debt_consolidation,0.24,MORTGAGE,5000,6,5527,1,5
51445,8000,7997.79,0.16,36,debt_consolidation,0.16,RENT,3750,8,7374,1,6
30184,8400,8400,0.06,36,credit_card,0.09,OWN,3000,6,6215,0,2
48402,35000,35000,0.15,36,medical,0.12,MORTGAGE,14166.67,7,103354,0,8
50781,15000,15000,0.08,36,credit_card,0.22,OWN,5000,8,21555,0,2
8378,7500,7475,0.11,36,home_improvement,0.08,MORTGAGE,7083.33,9,2245,7,8
16672,24000,23665.54,0.1,60,debt_consolidation,0.17,RENT,7695.08,6,1502,0,9
56643,21000,20975,0.21,60,debt_consolidation,0.18,MORTGAGE,8083.33,11,31080,2,5
65889,6000,6000,0.08,36,debt_consolidation,0.09,RENT,8315.67,8,6239,0,2
18439,4500,4500,0.07,36,major_purchase,0.01,MORTGAGE,65000,7,3015,4,7
79217,29000,29000,0.18,36,debt_consolidation,0.16,RENT,7666.67,11,23319,0,2
83672,20000,20000,0.15,36,debt_consolidation,0.27,RENT,5250,11,11343,1,6
97016,7000,7000,0.1,36,debt_consolidation,0.11,MORTGAGE,4341.67,11,13638,0,7
16867,5000,4950,0.1,36,other,0.01,RENT,2916.67,2,165,2,3
73664,6000,6000,0.17,36,debt_consolidation,0.07,MORTGAGE,4025.67,6,6652,2,5
42222,10000,10000,0.15,36,wedding,0.04,RENT,4480,9,7614,2,1
24026,3200,3200,0.17,36,other,0.01,RENT,2917,4,1427,1,1
68139,23000,23000,0.18,36,debt_consolidation,0.26,MORTGAGE,6625,17,19870,1,3
101715,5000,1750.04,0.12,36,other,0.1,RENT,3416.67,17,15301,7,1
32974,3000,3000,0.13,36,debt_consolidation,0.03,RENT,2083.33,3,844,0,3
19091,12000,11975,0.11,60,debt_consolidation,0.18,RENT,3500,11,18808,0,5
57072,20000,19975,0.14,60,debt_consolidation,0.31,RENT,4166.67,9,8810,0,6
82788,1200,1200,0.16,36,debt_consolidation,0.27,RENT,2166.67,9,9076,1,3
33093,8000,8000,0.07,36,credit_card,0.05,MORTGAGE,3000,5,6084,1,n/a
28534,10000,9975,0.16,60,credit_card,0.18,MORTGAGE,5416.67,10,41329,0,10
22444,11000,11000,0.13,36,other,0.22,MORTGAGE,7916.67,9,34314,1,1
95117,18000,18000,0.16,36,credit_card,0.18,MORTGAGE,5250,11,9379,1,5
30817,24000,23975,0.17,60,small_business,0.09,RENT,5000,4,323,1,10
84180,8000,7925,0.19,60,other,0.1,MORTGAGE,5002.33,7,8421,1,10
35299,6000,6000,0.12,36,other,0.21,RENT,3100,18,10426,0,2
99867,35000,34950,0.17,36,debt_consolidation,0.23,RENT,6750,15,24626,1,10
16487,1000,750,0.1,36,renewable_energy,0,MORTGAGE,1800,2,0,1,1
84283,10000,10000,0.15,36,credit_card,0.28,RENT,3750,19,19385,1,3
83786,6000,6000,0.16,36,medical,0.08,RENT,5000,7,14784,1,10
85172,4000,4000,0.06,36,car,0.13,RENT,2916.67,7,2860,0,5
41190,20000,20000,0.12,60,debt_consolidation,0.11,MORTGAGE,5416.67,10,20836,0,10
102580,3500,690.34,0.14,36,medical,0.1,OTHER,3750,8,9771,4,10
57127,24000,24000,0.2,60,debt_consolidation,0.03,RENT,8333.33,8,8224,1,5
70843,8000,8000,0.14,36,debt_consolidation,0.14,RENT,3500,7,5074,2,4
73060,12000,12000,0.07,36,credit_card,0.14,MORTGAGE,7125,15,20639,1,5
88845,17600,17600,0.09,36,debt_consolidation,0.17,MORTGAGE,4166.67,8,235,1,8
1031,5000,512.46,0.13,36,debt_consolidation,0.16,RENT,3333,11,14244,2,2
14556,8000,8000,0.19,60,educational,0.06,RENT,2500,5,5770,2,6
8549,10000,9850,0.1,36,debt_consolidation,0.17,MORTGAGE,4500,8,6948,2,4
61042,16800,16800,0.07,36,debt_consolidation,0.04,OWN,16083.33,5,13470,1,8
13096,6500,6450,0.1,60,home_improvement,0.07,MORTGAGE,2738.67,10,2345,1,8
70987,35000,35000,0.08,36,home_improvement,0.21,MORTGAGE,12083.33,10,28864,0,10
70752,9950,9950,0.14,36,debt_consolidation,0.04,MORTGAGE,4800,9,5038,1,5
35935,5000,5000,0.1,36,debt_consolidation,0.29,RENT,3166.67,3,0,1,n/a
68413,10000,10000,0.19,60,debt_consolidation,0.28,RENT,3726.67,23,10067,2,5
74613,6000,6000,0.13,36,debt_consolidation,0.2,MORTGAGE,5833.33,6,5523,1,1
82673,35000,35000,0.08,36,debt_consolidation,0.2,MORTGAGE,12083.33,15,35242,0,10
56341,5600,5600,0.08,36,debt_consolidation,0.17,RENT,1916.67,8,3373,0,5
32601,17000,17000,0.08,36,small_business,0.06,RENT,6250,4,1352,3,6
25674,15000,15000,0.13,60,debt_consolidation,0.17,RENT,5666.67,13,10855,0,3
